id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,trip_distance_miles,average_speed_mph,pickup_hour
id1027675,2,2016-01-23 08:46:42,2016-01-23 09:06:39,1,-73.96953582763672,40.755218505859375,-73.97652435302734,40.74794769287109,N,1197,0.62,1.87,8
id1285469,2,2016-02-23 09:19:37,2016-02-23 09:39:35,1,-74.0164794921875,40.71540832519531,-74.01275634765625,40.70661163330078,N,1198,0.64,1.92,9
id3385889,1,2016-02-12 09:44:22,2016-02-12 10:00:02,1,-73.97268676757811,40.75586318969727,-73.97733306884764,40.75867462158203,N,940,0.31,1.19,9
id2742829,2,2016-03-11 23:23:52,2016-03-11 23:27:34,2,-74.0090103149414,40.718631744384766,-74.01075744628906,40.71749114990234,N,222,0.12,1.96,23
id1904594,1,2016-02-04 12:25:00,2016-02-04 12:35:19,4,-73.99105834960938,40.75553131103516,-73.98719787597656,40.759254455566406,N,619,0.33,1.9,12
id2623219,1,2016-06-17 08:38:56,2016-06-17 08:50:27,1,-73.98251342773438,40.762519836425774,-73.98192596435547,40.76771926879882,N,691,0.36,1.88,8
id3480123,1,2016-01-26 17:22:28,2016-01-26 17:50:27,1,-73.98691558837889,40.758819580078125,-73.9730224609375,40.76487731933594,N,1679,0.84,1.8,17
id1003405,2,2016-06-02 14:32:06,2016-06-02 14:46:23,6,-74.00103759765625,40.71870040893555,-74.00775146484375,40.72014236450195,N,857,0.37,1.54,14
id3787692,2,2016-05-24 10:50:03,2016-05-24 11:00:25,6,-73.97261047363281,40.74983978271485,-73.97549438476561,40.7517204284668,N,622,0.2,1.15,10
id3444837,2,2016-04-15 18:31:50,2016-04-15 18:52:02,2,-73.99102020263672,40.76424026489258,-73.9794921875,40.76139068603516,N,1212,0.63,1.88,18
id2130929,2,2016-01-27 11:23:55,2016-01-27 11:40:28,1,-73.99539184570312,40.73947143554688,-73.98969268798828,40.73426818847656,N,993,0.47,1.69,11
id2445562,1,2016-04-08 13:12:44,2016-04-08 13:18:42,1,-73.99822998046875,40.7457160949707,-73.99500274658203,40.7464599609375,N,358,0.18,1.78,13
id0975106,2,2016-01-11 07:51:28,2016-01-11 08:02:46,6,-73.99141693115233,40.75006103515625,-73.98948669433594,40.74768829345703,N,678,0.19,1.02,7
id0535062,1,2016-04-14 12:00:58,2016-04-14 12:17:26,1,-73.98451232910156,40.751968383789055,-73.98111724853516,40.75591278076172,N,988,0.33,1.19,12
id1514948,1,2016-01-29 16:29:25,2016-01-29 16:39:48,1,-74.0037384033203,40.74210357666016,-74.00725555419923,40.7411003112793,N,623,0.2,1.14,16
id2611272,2,2016-04-27 18:56:22,2016-04-27 19:25:02,2,-73.9947738647461,40.75007629394531,-73.99005126953125,40.73777389526367,N,1720,0.89,1.85,18
id3771610,2,2016-02-13 12:12:12,2016-02-13 12:31:28,1,-73.9900894165039,40.7330322265625,-73.98928070068358,40.7420654296875,N,1156,0.63,1.95,12
id3051167,1,2016-01-08 18:53:45,2016-01-08 19:14:30,1,-73.93926239013672,40.69342422485352,-73.94045257568358,40.698673248291016,N,1245,0.37,1.06,18
id0734242,2,2016-06-16 07:58:12,2016-06-16 08:09:35,4,-73.81514739990233,40.70246887207031,-73.8170623779297,40.706008911132805,N,683,0.26,1.39,7
id3468182,1,2016-01-07 13:32:41,2016-01-07 13:48:27,2,-73.97860717773438,40.764190673828125,-73.98734283447266,40.76522064208984,N,946,0.46,1.76,13
id0058950,2,2016-05-09 13:30:44,2016-05-09 13:42:22,1,-73.98075866699219,40.74792098999024,-73.984130859375,40.75074005126953,N,698,0.26,1.36,13
id1652478,2,2016-04-13 16:16:48,2016-04-13 16:43:03,1,-73.97078704833984,40.76432037353516,-73.97658538818358,40.775428771972656,N,1575,0.83,1.89,16
id0937070,1,2016-01-26 10:08:13,2016-01-26 10:33:29,1,-73.96587371826173,40.75288009643555,-73.97371673583984,40.74749755859375,N,1516,0.55,1.32,10
id2084975,1,2016-04-29 17:51:34,2016-04-29 18:06:22,1,-73.98731994628906,40.75608825683594,-73.98496246337889,40.75956726074219,N,888,0.27,1.1,17
id3788730,1,2016-03-26 14:30:31,2016-03-26 14:49:53,1,-73.98648071289062,40.75989532470703,-73.99099731445312,40.75578689575195,N,1162,0.37,1.14,14
id1743519,2,2016-06-25 14:08:28,2016-06-25 14:21:53,1,-73.98552703857422,40.75278091430664,-73.99198150634764,40.75580978393555,N,805,0.4,1.78,14
id0485353,1,2016-02-19 22:43:37,2016-02-19 22:51:49,1,-73.86341857910156,40.769805908203125,-73.86703491210938,40.76741790771485,N,492,0.25,1.84,22
id0438855,2,2016-06-11 13:33:52,2016-06-11 13:42:22,1,-73.99011993408203,40.73823165893555,-73.99279022216798,40.736610412597656,N,510,0.18,1.26,13
id0463276,1,2016-06-02 12:46:48,2016-06-02 12:59:03,1,-73.97792053222656,40.746238708496094,-73.97823333740233,40.75109100341797,N,735,0.34,1.64,12
id3756730,1,2016-04-10 01:30:29,2016-04-10 01:37:58,1,-74.00433349609375,40.74220657348633,-74.00149536132812,40.73942947387695,N,449,0.24,1.95,1
id1280386,2,2016-06-24 06:00:35,2016-06-24 06:11:26,6,-73.94225311279298,40.80057907104492,-73.93763732910156,40.804248809814446,N,651,0.35,1.94,6
id0167774,1,2016-06-24 18:22:27,2016-06-24 18:55:04,1,-74.00174713134764,40.71945571899414,-73.99263000488281,40.73062133789063,N,1957,0.91,1.67,18
id0778026,1,2016-06-21 12:09:06,2016-06-21 12:40:11,1,-73.9912567138672,40.74961853027344,-73.9738540649414,40.7501335144043,N,1865,0.91,1.76,12
id0888908,2,2016-02-11 22:33:25,2016-02-11 22:42:28,1,-73.98603820800781,40.72647857666016,-73.99163055419923,40.72680282592773,N,543,0.29,1.95,22
